Location,Scenario,Contextual_Similarity
Kitchen,Ruining a silent retreat by having hiccups,0.7423
Movie Theater,Accidentally wearing a Halloween costume to a black-tie wedding,0.7423
Woods,Telling a crying child that life isn't fair,0.7423
Wine Cellar,Investigating a Haunting,0.7423
Greenhouse,Navigating a foreign city with a broken map and no language skills,0.7423
Laboratory,Pretending to be blind to get a better seat,0.7423
Restaurant,Swearing in front of a group of nuns,0.7423
Harbor,Telling a crying child that life isn't fair,0.7423
Coffeehouse,Trying to break a curse by kissing a frog,0.7423
Bus Station,Arriving at a potluck empty-handed,0.7423
Bus Station,Trying to build a time machine out of garbage,0.7423
Police Car,Attempting to bring a sword through airport security,0.7422
Zoo,Trying to catch a fly with chopsticks,0.7422
Subway Tunnel,Attempting to smuggle a wheel of cheese through airport security,0.7422
Small Town,Not knowing how to use a manual can opener,0.7422
Spaceship,Destroying a child's belief in Santa Claus,0.7422
Beach,Trying to steal a famous painting from a museum,0.7422
Haunted House,Getting caught taking selfies at a somber historical monument,0.7422
Park,Stealing the microphone at a karaoke bar,0.7422
Camp,Insisting that birds aren't real at a bird-watching convention,0.7422
Bank Vault,Trying to fix a leaky pipe with duct tape,0.7422
Orchard,Trying to escape a maze,0.7422
Fast Food Restaurant,Being challenged to a dance battle by a group of teenagers,0.7422
Yacht,Lying about being able to speak French in Paris,0.7422
Factory,Getting caught building a doomsday device in the garage,0.7422
Office Cubicle,Sneezing during a bank robbery,0.7422
Cruise Ship,Accidentally liking your boss's vacation photo from 2014,0.7422
Jungle,Catching a leprechaun but he refuses to give you his gold,0.7422
Countryside,Accidentally hitting a pedestrian with a golf cart,0.7422
Mall,Stealing the microphone at a karaoke bar,0.7422
Prison Cell,Leaving Someone at the Altar,0.7422
Bank,Getting caught putting a fake bug in your soup for a free meal,0.7422
Underwater,Robbing a bank with a banana,0.7422
Tank,Getting caught trying to steal a souvenir from a sacred temple,0.7422
War Zone,Navigating a foreign city with a broken map and no language skills,0.7422
Jungle,Ruining the Bride's Dress,0.7422
Ice Cave,Planning a Prison Escape,0.7422
Frozen Tundra,Swimming in a public fountain,0.7422
Village,Forgetting to wear pants to a Zoom meeting and standing up,0.7422
Laboratory,Pulling a fire alarm to get out of a bad date,0.7422
Bridge,Cult Initiation Ceremony,0.7422
Dragon's Lair,Purchasing a haunted antique that won't stop screaming,0.7422
Video Arcade,Staging an Intervention,0.7422
Public Restroom,House Party That Got Out of Hand,0.7422
Laboratory,Mispronouncing a very common word on live television,0.7422
Bank,Emergency Evacuation,0.7422
Bank,Agreeing to be a getaway driver for a minor traffic offense,0.7422
Outdoor Pool,House Party That Got Out of Hand,0.7422
Tree House,Hiding under a bed to avoid a conversation,0.7422
Restaurant,Buying a Ridiculously Expensive Round of Drinks,0.7422
White House,Explaining to the mafia boss why the pizza is late,0.7422
Fishing Boat,Having a shouting match with a parrot,0.7422
Upscale Hotel Lobby,Playing Matchmaker Gone Wrong,0.7422
Courthouse,Arguing with a barista over the definition of a cappuccino,0.7422
County Fair,Accidentally destroying a child's sandcastle masterpiece,0.7422
Public Restroom,Sneezing during a bank robbery,0.7422
Used Car Dealership,Negotiating a Ransom,0.7422
Apartment Building,Attempting to smuggle a wheel of cheese through airport security,0.7422
Airplane,Negotiating a Ransom,0.7422
Amusement Park,Pretending to be blind to get a better seat,0.7422
Underwater City,Biting into a fake apple at an open house,0.7422
Woods,Trying to hide the fact that you live in your car during a date,0.7422
Hospital,Handling a Hostage Negotiation,0.7422
Mall,Accidentally promising to cook a five-course meal for 20 people,0.7422
River,Emergency Evacuation,0.7422
County Fair,House Party That Got Out of Hand,0.7422
Golf Course,Breaking a priceless vase at a museum and trying to glue it back,0.7422
Canyon,Trying to escape a maze,0.7422
Race Track (Horses),Biting into a fake apple at an open house,0.7422
Dorm Room,Trying to hide the fact that you live in your car during a date,0.7422
Coral Reef,Getting Lost Without a Map,0.7422
Elementary School Classroom,Getting kicked out of a world-renowned museum,0.7422
Skate Park,Negotiating a ride hitchhiking with a very strange driver,0.7422
Sporting Event,Confronting the person who keeps eating your labeled yogurt,0.7422
Train Station,Speed Dating,0.7422
Living Room,Trying to start a slow clap in an empty room,0.7422
Movie Set,Using the wrong language on a translation app,0.7422
Bar,Trying to escape a maze,0.7422
Elevator,After-Party That Won't End,0.7422
College Campus,Trying to assemble IKEA furniture without the instructions,0.7422
City,Knocking over a domino world record attempt,0.7422
Park,Fleshing Out a Heist Plan,0.7422
Boarding School,Getting Lost Without a Map,0.7422
Movie Theater,Getting caught practicing a cool entrance in the mirror,0.7422
Taxi,Murder Mystery Dinner,0.7422
Elevator,Firing someone via text message,0.7422
College Campus,Eating the last slice of pizza after someone else already claimed it,0.7422
Post-Apocalyptic World,Stranded with No Signal,0.7422
Botanical Garden,Trying to pass off a fake painting to an art appraiser,0.7422
Amusement Park,Attempting to steal the Declaration of Independence,0.7422
Battlefield,Bomb Defusal Under Pressure,0.7422
Laboratory,Negotiating a Ransom,0.7422
Prom,Explaining to the mafia boss why the pizza is late,0.7422
Community Center,Throwing a temper tantrum in a grocery store,0.7422
Coffeehouse,Kicking a soccer ball into someone's face,0.7422
Bunker,Getting caught building a doomsday device in the garage,0.7422
Psychiatric Ward,Spilling coffee on a priceless piece of art,0.7422
Morgue,Accidentally eating the office fridge thief's poisoned bait,0.7422
Theater,Trying to hide the fact that you live in your car during a date,0.7422
Garden,Trapped in a revolving door with a mime,0.7422
Black-Tie Event,Lying about being able to speak French in Paris,0.7422
Military Helicopter,Trying to give yourself a haircut in the dark,0.7422
Hotel Room,Ruining the Bride's Dress,0.7422
Carnival,Staging an Intervention,0.7422
Elevator,Cleaning Up After a Massive Party,0.7422
Pawn Shop,Witnessing a bank robbery and asking for an autograph,0.7422
Pawn Shop,Trying to sell ice to an Eskimo,0.7422
Lake House,Camping Trip Where Everything Goes Wrong,0.7421
Run-Down Apartment,3am Drunk Food Run,0.7421
Bar,Impersonating a pilot to get free drinks,0.7421
Theater,Explaining to the vet why the dog is green,0.7421
Movie Theater,Getting caught taking selfies at a somber historical monument,0.7421
Virtual Reality World,Interrupting a moment of silence with a loud ringtone,0.7421
Nightclub,Trying to barter with a toll booth operator,0.7421
Mansion,Escaping a boring date through the bathroom window,0.7421
Theater,Rescuing a cat from a tree and getting stuck yourself,0.7421
Waiting Room,Dropping the bride's ring down a sewer grate,0.7421
Limousine,Getting Lost Without a Map,0.7421
Market,Falling Asleep During a Meeting,0.7421
Airport,Speed Dating,0.7421
Subway Train,Defending your terrible parallel parking job holding up traffic,0.7421
Subway Train,Breaking a priceless vase at a museum and trying to glue it back,0.7421
Restaurant,Returning a stolen item to the store without a receipt,0.7421
Prison,Attempting to arrest a real police officer,0.7421
Mall,"Taping a ""kick me"" sign to your own back",0.7421
Hospital,Hacking a Secure System,0.7421
Tank,Performing an Exorcism,0.7421
Run-Down Apartment,Defending Earth from aliens using only household appliances,0.7421
Recording Studio,Trying to steal a famous painting from a museum,0.7421
Jungle,Trying to return a half-eaten meal claiming it was poisoned,0.7421
Backyard,Accidentally hitting a pedestrian with a golf cart,0.7421
Backyard,Undercover Sting Operation,0.7421
Hair Salon,Trying to defuse a bomb with safety scissors,0.7421
Dystopian World,Hiding in a retail store until after it closes,0.7421
Pool Hall,Trying to return a half-eaten meal claiming it was poisoned,0.7421
Cemetery,Spilling coffee on a priceless piece of art,0.7421
Rooftop,Performing an Exorcism,0.7421
Clock Tower,Planning a Prison Escape,0.7421
Nursing Home,Making a dramatic exit by walking into a closet,0.7421
Bridge,Waving back at someone who wasn't waving at you,0.7421
Prison,Realizing you booked the wrong flight on the wrong continent,0.7421
Flower Shop,Buying a supposedly haunted car that just plays bad 80s music,0.7421
Ballroom,Giving a presentation with spinach in your teeth,0.7421
Prom,Bumping into a Celebrity,0.7421
Submarine,Keeping a stolen penguin in your bathtub,0.7421
Restaurant,Hiding a Fugitive,0.7421
Vet Clinic,Purchasing a haunted antique that won't stop screaming,0.7421
Cruise Ship,Forgetting to wear pants to a Zoom meeting and standing up,0.7421
Fire Station,Bribing a health inspector with stale cookies,0.7421
Upscale Hotel Lobby,First Time Meeting the Parents,0.7421
Police Car,Losing the winning lottery ticket in the trash,0.7421
Medieval Castle,Lying about being able to speak French in Paris,0.7421
Virtual Reality World,Walking into a glass door in front of your crush,0.7421
Bowling Alley,Murder Mystery Dinner,0.7421
Kitchen,Muddy Festival Camping,0.7421
Emergency Room,Faking a coma to avoid a family gathering,0.7421
Jungle,Eating the last slice of pizza after someone else already claimed it,0.7421
Church,Pretending to be blind to get a better seat,0.7421
Community Center,Entering a hot dog eating contest to impress a vegetarian,0.7421
Small Town Street,Trying to sell ice to an Eskimo,0.7421
Ice Cream Parlor,Eating the last slice of pizza after someone else already claimed it,0.7421
Police Car,Impersonating a tour guide at a museum,0.7421
Bridge,Getting Locked Out,0.7421
Park,Explaining to your landlord why there is a horse in your apartment,0.7421
Tank,Defending Earth from aliens using only household appliances,0.7421
Race Track (Horses),Office Holiday Party,0.7421
Lighthouse,Trying to steal a famous painting from a museum,0.7421
Pawn Shop,Getting caught trying to steal a souvenir from a sacred temple,0.7421
Zoo,Giving a presentation with spinach in your teeth,0.7421
Volcano,Buying a supposedly haunted car that just plays bad 80s music,0.7421
Used Car Dealership,Trying to convince a police officer that the speed limit is a suggestion,0.7421
Post-Apocalyptic World,Swimming in a public fountain,0.7421
Pond,Muddy Festival Camping,0.7421
Attic,Not knowing how to use a manual can opener,0.7421
Rock Concert,Ruining a silent retreat by having hiccups,0.7421
Bridge,House Party That Got Out of Hand,0.7421
Living Room,Defending your decision to live in a treehouse,0.7421
Ambulance,Amateur Ghost Hunting,0.7421
Motel,Stealing the microphone at a karaoke bar,0.7421
Bank,Backing over your neighbor's prized rose bush,0.7421
University Lecture Hall,Kicking a soccer ball into someone's face,0.7421
Penthouse Suite,Trapped in a revolving door with a mime,0.7421
Movie Set,Agreeing to help a ghost move on,0.7421
Circus,Sneezing during a bank robbery,0.7421
Island,Overfeeding someone else's fish until they explode,0.7421
Cruise Ship,Pretending to know the host of a VIP party you crashed,0.7421
Virtual Reality World,Apologizing to a mannequin after bumping into it,0.7421
Attic,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7421
Igloo,Discovering a secret room behind a bookcase,0.7421
Desert,Explaining to the mafia boss why the pizza is late,0.7421
Elevator,Getting Caught Talking to Yourself,0.7421
Canyon,Trying to hide a dead body in a shallow grave,0.7421
Ballroom,Trying to invent a new color,0.7421
Lake,Explaining to border control why your suitcase is full of rocks,0.7421
Parking Lot,Walking out of a restaurant without paying and returning out of guilt,0.7421
